,name,amc,ngen,aum,ter,cagr,sd,sharpe,beta,infratio,upcap,downcap,pe,r1,r2,r3,r5,r7,r10,r15,SCORE,ret_hist
1,Bandhan Small Cap,Bandhan,7.92,27219,1.59,28.62,17.26,1.15,0.92,0.65,90.04,83.13,18.1,8.35,10.54,27.41,20.5,,,,78.21,5
2,Invesco India Smallcap,Invesco,6.16,11717,1.73,22.01,18.04,0.81,0.95,1.34,118.25,93.03,41.67,12.8,10.23,23.27,20.8,23.74,,,73.52,6
3,Bank of India Small Cap,Bank of India,5.98,2318,2.04,25.12,17.94,0.96,1.01,0.98,114.94,94.79,35.16,19.92,9.2,21.82,19.93,26.67,,,73.2,6
4,Motilal Oswal Small Cap,Motilal Oswal,4.97,6515,1.84,20.23,17.67,0.74,0.88,1.52,124.29,91.82,32.83,16.71,15.38,,,,,,70.16,3
5,Nippon India Small Cap,Nippon,6.98,74604,1.33,20.05,16.58,0.77,0.85,0.17,86.43,87.24,30.33,8.83,3.34,18.74,20.88,24.49,21.07,21.55,67.0,8
6,Mahindra Manulife Small Cap,Mahindra,5.25,4591,1.85,23.31,17.07,0.91,0.92,0.29,85.9,84.48,29.38,12.88,5.45,22.24,,,,,66.79,4
7,Axis Small Cap,Axis,4.43,27840,1.58,21.06,14.59,0.91,0.8,0.58,83.25,76.67,31.02,7.03,6.06,15.68,17.35,21.17,18.48,,65.49,7
8,Union Small Cap,Union,5.59,2094,2.04,15.38,16.87,0.53,0.99,1.34,107.02,83.59,39.29,20.87,10.23,19.16,18.24,22.98,16.69,,61.52,7
9,Edelweiss Small Cap,Edelweiss,4.45,6156,1.83,22.95,17.32,0.89,0.85,0.26,79.42,78.78,33.11,7.59,4.37,17.32,17.77,22.74,,,59.99,6
10,ITI Small Cap,ITI,4.48,3034,1.92,19.83,20.0,0.66,0.99,1.42,105.69,85.52,37.4,13.85,7.72,24.33,16.5,,,,59.32,5
11,DSP Small Cap,DSP,5.38,18358,1.69,17.41,20.28,0.55,0.88,0.8,94.82,84.0,29.28,10.42,8.67,18.46,18.39,21.63,16.58,19.33,57.78,8
12,TRUSTMF Small Cap,TRUSTMF,6.02,1891,2.03,14.52,18.9,0.45,0.92,2.19,125.0,78.97,42.79,26.13,,,,,,,57.33,2
13,UTI Small Cap,UTI,3.35,4970,1.81,19.82,15.57,0.8,0.89,0.38,89.44,86.02,29.11,6.33,6.52,16.07,16.36,,,,55.34,5
14,Sundaram Small Cap,Sundaram,5.43,3681,1.9,16.99,20.92,0.53,0.88,1.03,97.6,81.91,27.84,14.18,8.32,19.35,18.24,20.13,15.02,16.19,55.08,8
15,Quantum Small Cap,Quantum,4.43,225,2.17,11.6,14.42,0.36,0.76,0.78,79.04,66.05,22.37,8.44,7.09,,,,,,53.45,3
16,Quant Small Cap,Quant,5.75,31774,1.58,11.82,18.04,0.33,0.84,0.2,81.98,81.56,29.91,12.43,2.38,20.33,20.48,29.96,19.82,16.17,51.21,8
17,HSBC Small Cap,HSBC,4.07,16877,1.68,19.49,17.13,0.73,0.99,-0.13,104.78,105.7,33.15,8.37,2.18,17.06,19.23,20.74,18.81,,49.99,7
18,PGIM India Small Cap,PGIM,4.09,1567,2.13,11.78,15.88,0.35,0.82,0.59,79.42,71.97,47.59,11.41,7.08,15.5,,,,,43.81,4
19,Canara Robeco Small Cap,Canara Robeco,2.99,13364,1.7,20.57,17.49,0.77,0.86,-0.36,75.86,84.78,30.64,4.17,1.47,13.76,16.77,22.16,,,43.44,6
20,LIC MF Small Cap,LIC MF,4.17,695,2.33,14.19,17.33,0.46,1.0,0.02,99.98,99.67,33.05,13.12,3.81,17.63,18.51,20.18,,,42.63,6
21,SBI Small Cap,SBI,1.93,37395,1.53,18.54,15.25,0.74,0.73,-0.27,66.29,77.66,33.87,4.31,0.2,12.81,14.36,19.48,18.1,20.16,41.58,8
22,HDFC Small Cap,HDFC,3.09,38809,1.53,15.46,18.5,0.5,0.83,-0.24,70.19,79.01,22.2,2.74,2.56,14.09,16.72,18.7,17.6,16.4,36.31,8
23,ICICI Pru Smallcap,ICICI Pru,3.01,8949,1.75,12.39,16.4,0.38,0.73,-0.02,68.48,75.14,23.59,5.0,1.76,13.45,15.83,19.87,16.26,15.39,35.59,8
24,Baroda BNP Paribas Small Cap,Baroda BNP,4.27,1222,2.19,12.28,17.23,0.36,0.81,-0.1,71.75,78.25,31.33,6.3,1.82,,,,,,35.42,3
25,Franklin India Small Cap,Franklin,4.09,13847,1.7,15.01,18.6,0.48,0.85,-0.26,82.87,90.54,28.5,3.75,-0.29,16.39,18.33,18.83,15.22,18.27,35.34,8
26,Aditya Birla SL Small Cap,ABSL,4.59,5453,1.85,12.39,18.64,0.35,0.9,0.62,96.21,88.63,30.57,12.21,5.43,17.1,14.15,16.32,13.23,14.92,32.51,8
27,Kotak Small Cap,Kotak,1.82,17806,1.68,16.56,18.45,0.55,0.81,-0.58,77.59,93.07,33.19,3.13,0.75,13.38,13.98,20.99,16.86,17.04,30.51,8
28,JM Small Cap,JM,4.62,730,2.35,5.21,21.02,0.02,1.05,0.32,117.12,105.77,29.81,12.62,,,,,,,29.53,2
29,Tata Small Cap,Tata,3.79,11645,1.67,18.94,16.65,0.71,0.9,-1.5,60.63,96.57,31.71,-4.48,-1.05,12.13,15.11,20.33,,,27.51,6
